sample,dataset,fastq_1,fastq_2
Syno03,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176378_SRR29672934_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176378_SRR29672934_2.fastq.gz
Syno04,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176379_SRR29672933_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176379_SRR29672933_2.fastq.gz
Syno05,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176380_SRR29672935_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176380_SRR29672935_2.fastq.gz
Syno06,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176381_SRR29672932_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176381_SRR29672932_2.fastq.gz
Syno07,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176382_SRR29672936_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176382_SRR29672936_2.fastq.gz
Syno08,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176383_SRR29672931_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176383_SRR29672931_2.fastq.gz
Syno09,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176384_SRR29672937_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176384_SRR29672937_2.fastq.gz
Syno10,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176385_SRR29672930_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176385_SRR29672930_2.fastq.gz
Syno11,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176386_SRR29672927_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176386_SRR29672927_2.fastq.gz
Syno12,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176387_SRR29672926_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176387_SRR29672926_2.fastq.gz
Syno13,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176388_SRR29672925_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176388_SRR29672925_2.fastq.gz
Syno14,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176389_SRR29672928_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176389_SRR29672928_2.fastq.gz
Syno15,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176390_SRR29672924_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176390_SRR29672924_2.fastq.gz
Syno16,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176391_SRR29672929_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176391_SRR29672929_2.fastq.gz
Syno17,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176392_SRR29672923_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176392_SRR29672923_2.fastq.gz
Syno18,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176393_SRR29672922_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176393_SRR29672922_2.fastq.gz
Syno19,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176394_SRR29672921_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176394_SRR29672921_2.fastq.gz
Syno20,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176395_SRR29672920_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176395_SRR29672920_2.fastq.gz
Syno21,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176396_SRR29672919_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176396_SRR29672919_2.fastq.gz
Syno22,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176397_SRR29672918_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176397_SRR29672918_2.fastq.gz
Syno23,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176398_SRR29672917_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176398_SRR29672917_2.fastq.gz
Syno24,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176399_SRR29672916_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176399_SRR29672916_2.fastq.gz
Syno25,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176400_SRR29672915_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176400_SRR29672915_2.fastq.gz
Syno26,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176401_SRR29672914_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176401_SRR29672914_2.fastq.gz
Syno27,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176402_SRR29672913_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176402_SRR29672913_2.fastq.gz
Syno28,Synoground,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176403_SRR29672912_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/SRX25176403_SRR29672912_2.fastq.gz
Dhiman01,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268279_ERR4319912_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268279_ERR4319912_2.fastq.gz
Dhiman02,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268280_ERR4319913_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268280_ERR4319913_2.fastq.gz
Dhiman03,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268281_ERR4319914_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268281_ERR4319914_2.fastq.gz
Dhiman04,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268282_ERR4319915_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268282_ERR4319915_2.fastq.gz
Dhiman05,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268283_ERR4319916_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268283_ERR4319916_2.fastq.gz
Dhiman06,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268284_ERR4319917_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268284_ERR4319917_2.fastq.gz
Dhiman07,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268285_ERR4319918_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268285_ERR4319918_2.fastq.gz
Dhiman08,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268286_ERR4319919_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268286_ERR4319919_2.fastq.gz
Dhiman09,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268287_ERR4319920_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268287_ERR4319920_2.fastq.gz
Dhiman10,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268288_ERR4319921_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268288_ERR4319921_2.fastq.gz
Dhiman11,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268289_ERR4319922_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268289_ERR4319922_2.fastq.gz
Dhiman12,Dhiman,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268290_ERR4319923_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/ERX4268290_ERR4319923_2.fastq.gz
