Genes
DCTN2
SYNJ2BP
PSMB2
PSMD12
RHOA
PRKAR1A
TGAS113E22.1
ASCC1
NRDC
RAB2A
METTL9
UBE2D2
GID8
ELP3
PPP1CA
PITPNB
GLO1
UBE2D3
POMP
ELP5
GDI2
UFD1
PSMC1
PSMA1
ALG5
TMED2
HMBS
ISY1
AKR1A1
DDX42
RALA
CAPZA2
MUL1
PSMA6
EIF2B3
LRRFIP2
SNX6
DUS2
VDAC3
TMCO1
COPS2
CERS5
HSD17B12
ATP1B3
LSM10
MTA3
TSPAN3
MAF1
SUDS3
IFT46
UBXN4
KBTBD4
UBE2Q1
ADIPOR1
FKBP3
RER1
COPZ1
DAP3
HDAC1
TAF11
ARF1
ATP5O
USP4
E2F6
PPP1CC
JTB
BCL2L13
PPP4C
NME2
ST13
ZC3HC1
ERI3
NSUN2
NUDT9
ARPC5
KDM1A
TOR1A
SNW1
CNBP
COX6B1
SDHC
SNX3
EIF1
SEC13
ARIH2
FAM204A
GNG10
ARPP19
TMEM110
PAIP1
MED6
ALG12
NACA
HM13
FAM192A
RPL9
CLPTM1L
ATP5J
AP1S1
PDPK1
GRPEL1
SNIP1
GOLGA7
PAFAH1B2
TSG101
ELOA
ETFA
NECAP2
CDK11B
CFAP20
ATP6V1E1
VDAC2
VPS29
UBE2J2
PI4KB
FGFR1OP2
AGGF1
07-Sep
PRELID1
METAP1
RHNO1
MAPRE1
METAP2
CF089_RAT
SDHB
CNPY2
CCDC59
TM2D2
FXR1
ATG3
TARDBP
M6PR
CCDC25
ARF6
SPTLC2
KRTCAP2
ACO2
DSTN
UBE2E1
FAM3C
PARK7
TBC1D10B
DAD1
TCP1
CNOT8
MGAT1
RAB1A
MATR3
GNAS
GPN3
TINF2
HSPA4
TIMMDC1
SAR1A
RPL21
PEX5
ARF3
SPCS2
SNX14
EDEM2
SERPINB6
NDUFA8
AAR2
ATP5C1
BAG5
DHRS1
AURKC
ADSS
ARPC5L
MTCH1
UBE2V2
PSMD7
DDX24
DNAJC8
ARF4
SRPRB
CA131_RAT
UBR7
ARV1
RAB21
CHMP7
DNAJA1
ARCN1
TMEM5
YTHDC1
DDX47
FBXO9
UBE2N
COX7A2L
LIAS
STRAP
NOP14
ARMC1
PKM
NAA50
RPL3
EIF2A
PRPF6
TSTA3
CLNS1A
TATDN2
NF2
ZNF420
ATXN10
ZPR1
TMEM33
EIF3C
DCAF13
SYF2
CP072_MOUSE
ANAPC7
ADH5
COPS6
POGZ
LUC7L2
DDX5
CCNH
DNAJA2
CTBP2
GTF2E2
MAD2L2
RAB5A
PRDX2
TOMM70
PISD
ZCCHC9
OSBPL9
UQCC1
PDCL3
TBRG1
TMEM39A
TMEM208
DYNC1I2
PEBP1
RRAGA
FXR2
AKIP1
COX5A
RAC1
TBC1D10A
KCT2
USF1
FAAP20
JAGN1
GPAT4
OSBPL2
ARL2BP
CALM2-B
OTULIN
COPB2
TMEM186
NSFL1C
VDAC1
MAGOHB
CDKN2AIPNL
HNRNPK
PSMA2
TIMM23
NDUFS2
CWC15
GTF2H1
KDELR2
TM9SF1
PLA2G12A
POP5
PFDN5
RSRC1
WRB
CDC123
VPS4B
SEH1L
POT1
TIMM17A
LAMTOR3
TMEM129
COPS5
DBNL
RPS3A
EIF3G
TMED1
MORF4L1
LRRC42
NANS
ATF1
DAZAP2
RPL4
LMAN2
B3GNT2
RPL19
MRPL1
TPST2
BTF3
SDHA
PDZD11
SRP72
NUDT3
NOP58
PRKAB1
INPP5A
UBE2K
ASPSCR1
TAX1BP1
ELOVL5
NDUFB8
CCDC137
PES1
GFM1
SYAP1
RNF115
CAPZB
FAM169A
NRBP1
TCEANC2
MAPKAPK2
NUS1
LSG1
CYB5R4
HADHA
YWHAB
RWDD1
TMEM199
ABT1
STK24
CHD4
UBE2R2
RPL29
HIKESHI
EXOC1
TIAL1
ILK
ATP5A1
PTPRA
ASRGL1
TXN
SH3GLB2
SURF4
TXNDC9
MYL12B
NRBF2
NOL10
ACTR3
RIOK3
KIF1BP
EXOC3
FEZ2
MAPKAP1
EMC4
CMTM6
OLA1
NAPA
FAM104A
DDX18
APMAP
FAM96A
MYDGF
TXN2
KIAA0907
05-Mar
ATP5F1
VPS36
UBA3
RALY
NFX1
EIF3J1
CUL4A
PPP1R2
EIF1AX
MFN2
ARL6IP4
TSR1
PSME2
EIF3I
CHCHD2
SEC61A1
MSI2
EPS8L3
AASDHPPT
EXOSC9
TBCCD1
PTP4A2
GET4
NDUFAB1
RASSF1
MAGEH1
MSANTD4
RBM8A
PARN
CUL2
WDR61
RAB4A
PCNP
GNAI3
COPS4
UTP3
SNAPC3
G3BP2
POLE3
DNAJC11
YAF2
RNH1
UBFD1
NDUFA12
PGRMC2
SNRNP70
SELENOF
PPP2R5C
RCE1
POLR2G
D10WSU102E
PSMC2
ALG14
GPR89
CLTA
MAP3K7
PRPF18
IFT27
PHKG2
MAPK1
PPM1A
ACAT1
VPS26A
SCP2
ZRANB2
PLAA
KMT5A
TRAFD1
NDUFA4
DPP3
RTCA
AKTIP
CCDC50
WDR83OS
HADH
IDH3A
SESTD1
MTMR6
RBM39
DCAF8
RASSF3
CDC42
TRUB2
UBE2L3
ZC3H14
MAT2B
RAB11A
SLIRP
PANK2
GLUD1
UQCRC1
SRP54
CFAP36
CN166_MOUSE
DESI1
NAPG
PSMB6
ABI1
SMYD2
UBLCP1
YAP1
SUPT3H
DLAT
INTS11
KDELR1
ATG5
WBP4
RTN3
SHB
TLK2
MRPL51
MRPS18A
TRABD
VPS33A
GATAD1
TRIP10
CHIC2
DDX50
CELF1
ECSIT
TPT1
MRPL45
TRAPPC3
BRD7
SMARCD2
CMPK1
NDUFB5
PSEN1
SLC37A4
NDUFAF1
EXD2
EI24
ABRAXAS2
RTCB
RNF146
LMO4
DDX59
PTPN1
PDCD6IP
CHMP3
IFT52
RBMXL1
CNIH1
ADPRH
GPATCH11
EIF2B2
RAP1B
CHMP2B
TRIP4
SPTLC1
RPL27A
TMX3
UBE2I
CDK7
RPL32
RAB7A
NUDT5
PIN1
DPH5
LUC7L
PPP1R8
COPG1
CDIPT
NAP1L1
TM9SF2
DYNC1LI1
CCNC
KTN1
ADK
MTPN
EFL1
NMNAT1
CNPY4
CPOX
BAG1
FBXO18
MYO19
ACSL5
CTNNB1
UBAP1
XRCC6
ALG9
HEATR3
PPFIBP1
KRR1
MIER1
TAS2R42
PMM1
PEA15
OGFOD1
TMEM161A
JOSD1
GPBP1
UBE2E2
CLIC1
RASSF8
PSMB1
CNOT10
TLS1_MOUSE
DECR1
MKKS
RAP1A
RRAS2
TOR1B
SRPRA
LINS1
TDG
DUSP12
TMEM175
RPL26
ARHGAP12
RTN4
DDX23
MAML1
BECN1
BRAP
PCSK7
RABGGTB
PPP4R3A
ACO1
EIF3K
SEC22B
DIABLO
GLUL
ATP5H
CCNL1
DSCR3
RPL7A
PPWD1
NCK1
DR1
ING2
PDRG1
LPCAT3
NEMF
PPIL2
PMPCB
SUCLA2
TSPAN14
TGDS
MAD2L1BP
STX4
PSMD5
EMC3
TMX1
PPIE
AMFR
HINFP
GDAP2
API5
EIF2B5
FBXO7
SSR1
NAA20
PSMB7
DHRS7B
PFKM
MYL9
SURF6
COG8
CC038_RAT
ATP2C1
PRKRIP1
LCMT1
EIF5A
SKP1
FAM76A
CPEB1
GGNBP2
ANKRD40
RSRC2
CINP
GLYR1
BCL2L1
PARG
UBE2G2
ARPC1A
NFE2L2
FAM219B
CYB5B
MRPL20
RPS17
PRKACA
NAA30
MPHOSPH8
KLHDC3
TOMM34
R3HDM4
AK2
MGRN1
BANF1
IFT57
PDHX
SLC25A17
UAP1
ARRB2
STX12
DNM2
NDUFV2
ERLIN1
RTF1
CHID1
ISOC1
RBM22
IER3IP1
RSU1
RACK1
TEX261
STK38
VAPA
SLC44A2
VPS37A
PRDX4
GRB2
STX5
TSR3
GLRX3
EMC2
TXNL1
RFWD2
NUB1
POLR2B
ZNF740
DHRS7
DEAF1
PRPF3
EMD
DCAF4
MRPS23
VPS4A
PFN2
ACBD3
PTPN2
ZCCHC10
CUL1
TXNDC11
DNAJA3
PDHB
DUSP11
MAEA
MICU1
CGGBP1
SUN1
AEBP2
TMEM57
E4F1
KAT14
PEX11B
TMEM192
CREM
PINX1
CTTN
SNX4
TMEM87A
PDSS2
PANX1
FNTA
WSB2
SNUPN
HSPB8
RAB18
GNB1
RNF14
MDH1
ANXA2
ACTB
PPM1B
ATAD1
CO040_MOUSE
AZI2
TM9SF3
ZC3H15
CCM2
TRPC4AP
MIPEP
H2AFV
MFAP1
SLC35F2
ERGIC3
PLEKHA1
PTPMT1
USP16
CAMTA2
GMPR2
MAPK1IP1L
COQ2
GRPEL2
DENR
METTL2
FRG1
GPBP1L1
TWF1
BCL10
FBXL3
BPGM
ELP2
PRDX3
HTATIP2
SPR
GORAB
MGST3
GALNT1
CRNKL1
BRF1
RYK
CCNDBP1
TBC1D22B
ERICH1
PNP
CHP1
ILF2
SLC25A51
DYNLRB1
MAPK14
SMAP
NMD3
VTA1
PSMD13
GSTM1
SETD3
RINT1
PRDX6
RNF20
TRNAU1AP
TTC1
NPTN
BTF3L4
WDR45B
SEC62
KCMF1
GOT2
RALB
RPS15A
POFUT1
COX4I1
MTRR
TFG
CTNNBL1
DCTN6
SSR2
AOC2
DNTTIP1
YWHAG
NTAN1
SIAH1
PRKCD
RPL36A
NAE1
RNF214
LARP7
CDC37L1
KANSL3
R3HCC1
PHF10
CT024_MOUSE
ARFGAP1
MRPL39
TMED9
EIF5B
SDE2
PARP16
ENO1
SIAH2
SBDS
BABAM1
RNF43
MSL3
HADHB
PPP2R2D
RAB35
MED4
PIP5K1A
SNX2
VAMP3
VMP1
PDCD2
ALDH2
SNRNP27
ZNF330
CSNK1D
CCDC28A
MEAF6
CHCHD3
SLMAP
ZGPAT
CACUL1
SRSF9
APH1A
ARHGDIA
CNTROB
TMEM106C
UFL1
PHF20L1
PNRC2
COMMD5
TRAPPC10
PTOV1
ARGLU1
NELFE
COMMD1
ISCU
CACYBP
PSMA5
REXO2
UBE2D1
ZDHHC7
SUCLG1
APOO
MPC2
KLC1
CYP51A1
EEA1
SMC1A
FZD3
PPP2R1A
YWHAZ
MRPS17
KANSL2
LIN52
BICD2
SEC23B
POLR2C
KAT5
PSMF1
PRMT2
YME1L1
ORMDL2
VIPAS39
ATP5G3
SS18
ANXA5
EIF3B
CSNK2A2
MED28
STT3A
MRPS10
OMA1
NKAPD1
COMMD9
PDIK1L
EEF2
TMX2
BEX3
DNAJC25
RHEB
PSMA4
OCIAD1
ZSCAN21
EEF1D
NOA1
ENTPD4
FBXO3
DEDD
MPI
PHYH
CCAR2
GOPC
CAP1
MRPL18
RBM7
SLBP
KEAP1
HP1BP3
GABPB1
ABCE1
SGMS1
VCP
PWP1
LHFPL6
RNF185
SRPK1
ZBTB8OS
CRKL
FBXO21
THOC1
STT3B
RSL24D1
RPN1
RNF167
COG3
PAFAH1B1
NDRG3
GDE1
TEFM
IDH3B
RNF215
UTP11
AKAP1
HAUS7
THAP11
QARS
POLR2F
CDKN1B
SPRYD4
ZNF773
RYBP
SNRPB2
NDUFV3
SENP2
RAB5C
DBNDD2
EEF1A1
OSER1
SLC12A4
OOG3
ZDHHC18
PSMB3
HMCES
MAN1B1
RAB6A
PGM2
CK049_MOUSE
KIF2A
COPB1
NUDT21
PHF14
ZNF888
EML3
ARPC4
SRI
ACOT7
RPL5
HCFC2
PPP1CB
CDADC1
UBE2V1
POGLUT1
POMK
TCEA1
PUS3
MOV10
TTC7B
FBXW8
YTHDF1
NAT10
ITGB1
AP3D1
ZCRB1
HMG20A
INIP
CDC40
PARVB
TOP3A
MAP2K5
FAF1
RAD23B
SDHAF2
RP2
CNOT2
DGAT1
KCTD20
CXXC1
CX056_MOUSE
ERCC5
DLD
THUMPD3
GOLPH3L
USB1
MTFR1
NCBP1
SSRP1
EIF4B
RABL6
IMPAD1
PAPD5
TMEM8A
CDCA4
CASP3
BIN1
ZNF706
MTRF1
HMOX2
HDAC2
VPS45
DCAF11
TYW1
GTF2B
NAP1L4
SH3BP5
TBP
METTL6
UQCRFS1
CIAPIN1
FBXW11
CDK4
SNX8
ANKS1A
CHMP4B
GCDH
D17H6S53E
MAK16
DNAJC14
AP1AR
LACC1
RBM28
CFL2
TEX10
ETFDH
EXOSC10
CARNMT1
PRELID3B
TOMM20
ACTR1A
PRPF40A
RBM34
SLC30A9
UBE2B
CIR1
SF3B6
CYCS
UVRAG
B3GLCT
RPL6
FTO
BAG3
ATXN3
AARSD1
MED29
HSPA8
LRRC14B
MNAT1
ANKRD54
USP48
CSK
IMPA1
VPS50
PPP2CA
TMEM268
UROS
RWDD2B
POLR2M
IFT20
ADO
PIGZ
PSMC6
RTFDC1
BRD1
LAS1L
TOR1AIP1
EXOC5
MAX
RPL10
SIGMAR1
COPE
POP4
YARS2
NMT1
RNASEH1
TDP2
AHSA2
PAK2
BRD9
RNF216
FAM160A2
PFDN4
SLC39A8
ATP2A2
NFXL1
RBPMS
PARP6
RPL34
LOC103163017
PGD
NTPCR
GPS1
PNPLA6
GORASP2
TBC1D1
ATP6V1G1
UBXN1
DFFA
PPP2R2A
TOX4
STAU1
KCTD10
FIP1L1
RAB10
MRPL41
FBXW2
PGRMC1
ZNF511
AIMP1
LIX1L
MINDY1
NDUFV1
ATXN7L1
SUCLG2
UNC50
PMM2
AKIRIN1
MAP3K4
CANT1
ADCK2
VPS37B
SCLT1
CDC42EP4
TGIF2
CWC25
RETREG3
CRBN
RAPGEF1
FKBP8
MRPL15
PABPN1
FMNL3
HDHD2
SLC25A38
GIT2
MED10
ZCCHC17
NT5DC1
SUMO2
TMEM243
STK25
RBM45
XPA
KLHL2
TRMT1L
ZNF638
NOSIP
PIGP
CTNND1
MRPL42
RBFOX2
SMARCA5
SGTA
CDC16
PGAM1
RAB33B
SMUG1
CDK5
ZNHIT6
SYVN1
FAIM
QTRT2
DCAF1
GNAI2
SLC30A5
TRAM1
GOLGA3
DNAJC21
FLYWCH1
MCAT
XXYLT1
TMEM206
BSDC1
SAP30BP
HGSNAT
CA174_MOUSE
ZDHHC6
ACTR2
APOBEC3
PRPF38A
SDCBP
CAPG
KARS
MPV17L2
UBIAD1
LIMD1
MRPS16
CGRRF1
DCAF12
ACTR8
TTC33
MRPL16
CHTF8
PDAP1
ZBTB44
RPF1
NUDT2
TRIT1
PNKP
UBA52
NUDCD3
RWDD4
KXD1
CHTOP
YAE1D1
RNF220
UGDH
RBM6
KLHDC4
PSMD8
MRPL9
ANP32A
RAB14
DLST
RTN4IP1
BBS9
RNF31
ZNF431
ANKS3
MKRN2
AIP
SNX27
COQ9
KIAA0391
SPG21
RABEP1
MAP2K1
RAB28
WDR24
TWISTNB
UBE2M
KLHL22
HSP90AA1
NDUFB6
ILKAP
RPS8
MFSD5
MCUB
TXNDC17
NISCH
FNTB
RBBP7
APLF
PPME1
FBXO8
SUGT1
SART1
SLC25A24
CF203_MOUSE
FKBP1A
PAF1
WDR3
SND1
TRMT5
HNRNPL
EIF2AK1
MTERF3
SEC31A
LGALS8
MSANTD3
FAM20B
HS2ST1
NME7
TMEM248
SLC39A14
DDRGK1
SMAP2
LRRC47
COPRS
MED8
NME1
EIF3E
FCGR3
WASL
FBXO45
RPL18A
RBBP5
ARIH1
FAM53A
